seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_bmi
199,102,drugs_alcohol,493,cvd_ihd,298262,9023,0,continuous,gday,-0.385662481,0.152764414,0,0.32876712,20,20,1,1,1
200,102,drugs_alcohol,493,cvd_ihd,298262,9023,0,continuous,gday,-0.083381609,0.147468839,0,0.32876712,30,45,1,1,1
201,102,drugs_alcohol,493,cvd_ihd,298331,9023,0,continuous,gday,-1.139434283,0.233747636,0,0,0.142857143,21.28571431,1,1,1
202,102,drugs_alcohol,493,cvd_ihd,298331,9023,0,continuous,gday,-1.46967597,0.247923618,0,0,21.42857145,42.71428576,1,1,1
203,102,drugs_alcohol,493,cvd_ihd,298331,9023,0,continuous,gday,-0.916290732,0.250211544,0,0,42.8571429,64.14285721,1,1,1
204,102,drugs_alcohol,493,cvd_ihd,298331,9023,0,continuous,gday,-1.427116356,0.348275753,0,0,64.28571435,96.42857153,1,1,1
205,102,drugs_alcohol,493,cvd_ihd,298262,9023,0,continuous,gday,-0.425267735,0.128591897,0,0,0,0.32876712,1,1,1
206,102,drugs_alcohol,493,cvd_ihd,298264,9023,0,continuous,gday,-0.314710745,0.213859487,1,7,8,15,1,1,1
207,102,drugs_alcohol,493,cvd_ihd,298264,9023,0,continuous,gday,-0.139262067,0.207845488,1,7,16,24,1,1,1
208,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,0,0.25651068,0,1.285714286,1.285714286,19.28571429,1,1,1
209,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,-0.328504067,0.273959101,0,1.285714286,20.57142858,54.00000001,1,1,1
210,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,-0.186329578,0.344798164,0,1.285714286,54.00000001,81.00000002,1,1,1
211,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,0.030459207,0.434884717,0,0,0,1.285714286,1,1,1
212,102,drugs_alcohol,493,cvd_ihd,309664,9023,0,continuous,gday,0.587786665,0.346460072,0,0,30,45,0,1,1
213,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,-0.083381609,0.11467477,0,10,10,60,1,1,1
214,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,0.494696242,0.242595992,0,10,60,90,1,1,1
215,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,0.030459207,0.434884717,0,0,0,1.285714286,1,1,1
216,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,0,0.25651068,0,1.285714286,1.285714286,19.28571429,1,1,1
217,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,-0.328504067,0.273959101,0,1.285714286,20.57142858,54.00000001,1,1,1
218,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,-0.186329578,0.344798164,0,1.285714286,54.00000001,81.00000002,1,1,1
219,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,0.030459207,0.434884717,0,0,0,1.285714286,1,1,1
220,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.186329578,0.077719492,1.714285714,10.28571428,12,22.28571428,0,1,1
221,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.174353387,0.089908326,1.714285714,10.28571428,24,34.28571428,0,1,1
222,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.274436846,0.102037154,1.714285714,10.28571428,35.99999999,46.28571428,0,1,1
223,102,drugs_alcohol,493,cvd_ihd,309707,9023,0,continuous,gday,-0.248461359,0.169896988,1.714285714,10.28571428,24,34.28571428,0,1,1
224,102,drugs_alcohol,493,cvd_ihd,309707,9023,0,continuous,gday,-0.544727175,0.179915444,1.714285714,10.28571428,35.99999999,46.28571428,0,1,1
225,102,drugs_alcohol,493,cvd_ihd,309707,9023,0,continuous,gday,-0.510825624,0.170820582,1.714285714,10.28571428,47.99999999,71.99999999,0,1,1
226,102,drugs_alcohol,493,cvd_ihd,309707,9023,0,continuous,gday,-0.285178942,0.171395353,0,1.714285714,1.714285714,10.28571428,0,1,1
227,102,drugs_alcohol,493,cvd_ihd,309665,9023,0,continuous,gday,-0.083381609,0.396845716,0,5,5,20,1,1,1
