seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age
86,102,drugs_alcohol,500,cvd_afib,525622,9023,0,continuous,gday,0.314810739840034,0.404744495016397,0,0,1,40,0,0
87,102,drugs_alcohol,500,cvd_afib,525622,9023,0,continuous,gday,0.60431596685333,0.515271890276631,0,0,40,60,0,0
88,102,drugs_alcohol,500,cvd_afib,525569,9023,0,continuous,gday,-0.0304592074847086,0.0315993575797923,0,2,2,12,0,0
89,102,drugs_alcohol,500,cvd_afib,525569,9023,0,continuous,gday,0.0953101798043249,0.0558810117506849,0,2,12,24,0,0
90,102,drugs_alcohol,500,cvd_afib,525569,9023,0,continuous,gday,0.198850858745165,0.103434976558205,0,2,24,36,0,0
91,102,drugs_alcohol,500,cvd_afib,525591,9023,0,continuous,gday,0.392042087776024,0.129423800939638,0.142857142857143,5.71428571428571,5.71428571428571,8.57142857142857,0,0
92,102,drugs_alcohol,500,cvd_afib,525591,9023,0,continuous,gday,-0.0408219945202552,0.610103557115002,0.142857142857143,5.71428571428571,5.71428571428571,8.57142857142857,0,0
93,102,drugs_alcohol,500,cvd_afib,439473,9023,0,continuous,gday,0.231111720963387,0.155373485548317,0,0,12,18,0,0
94,102,drugs_alcohol,500,cvd_afib,439473,9023,0,continuous,gday,0.0582689081239758,0.105404886276039,0,0,5.14285714285714,12,0,0
95,102,drugs_alcohol,500,cvd_afib,439473,9023,0,continuous,gday,0.0198026272961797,0.0799018812390167,0,0,0,5.14285714285714,0,0
96,102,drugs_alcohol,500,cvd_afib,439473,9023,0,continuous,gday,0.0582689081239758,0.0927025240274177,0,0,0,0.857142857142857,0,0
97,102,drugs_alcohol,500,cvd_afib,526005,9023,0,continuous,gday,0.00995033085316809,0.0101043719630219,0,0,1,15,0,0
98,102,drugs_alcohol,500,cvd_afib,526005,9023,0,continuous,gday,0.113328685307003,0.0136694505444149,0,0,15,29,0,0
99,102,drugs_alcohol,500,cvd_afib,526005,9023,0,continuous,gday,0.215111379616945,0.014346866919101,0,0,30,45,0,0
100,102,drugs_alcohol,500,cvd_afib,525404,9023,0,continuous,gday,0.104360015324243,0.0846690155436601,0,0,1.42857142857143,12.8571428571429,1,0
101,102,drugs_alcohol,500,cvd_afib,525404,9023,0,continuous,gday,0.0769610411361284,0.121767772790257,0,0,14.2857142857143,28.5714285714286,1,0
102,102,drugs_alcohol,500,cvd_afib,525404,9023,0,continuous,gday,0.207014169384326,0.168076047724825,0,0,30,58.5714285714286,1,0
103,102,drugs_alcohol,500,cvd_afib,525404,9023,0,continuous,gday,1.07158361628019,0.305536528396005,0,0,60,90,1,0
104,102,drugs_alcohol,500,cvd_afib,525587,9023,0,continuous,gday,0.148420005118273,0.0638327831420614,0,20,20,30,0,0
105,102,drugs_alcohol,500,cvd_afib,525587,9023,0,continuous,gday,0.0295588022415444,0.124579787733146,0,20,20,30,0,0
106,102,drugs_alcohol,500,cvd_afib,525595,9023,0,continuous,gday,0.0582689081239758,0.0838020579010296,0,0,1,20,0,0
107,102,drugs_alcohol,500,cvd_afib,525595,9023,0,continuous,gday,0.00995033085316809,0.198094078953826,0,0,20,30,0,0
108,102,drugs_alcohol,500,cvd_afib,525595,9023,0,continuous,gday,0.559615787935423,0.230509669662178,0,0,30,45,0,0
109,102,drugs_alcohol,500,cvd_afib,525579,9023,0,continuous,gday,0,0.0557350862776527,0,0,1.42857142857143,12,1,0
110,102,drugs_alcohol,500,cvd_afib,525579,9023,0,continuous,gday,0.198850858745165,0.0682860728941611,0,0,12,22,1,0
111,102,drugs_alcohol,500,cvd_afib,525579,9023,0,continuous,gday,0.357674444271816,0.0629069419258315,0,0,22,35,1,0
112,102,drugs_alcohol,500,cvd_afib,525579,9023,0,continuous,gday,0.482426149244293,0.038098287896,0,0,35,52.5,1,0
113,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,-0.0100503358535015,0.0719008041175989,1.42857142857143,9.85714285714286,10,19.8571428571429,0,0
114,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,0.336472236621213,0.197448795201286,1.42857142857143,9.85714285714286,20,29.8571428571429,0,0
115,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,0.00995033085316809,0.114729064231161,1.42857142857143,9.85714285714286,30,45,0,0
116,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,0.0198026272961797,0.0603032597102628,10,19.8571428571429,1.42857142857143,9.85714285714286,0,0
117,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,0.0769610411361284,0.123623068537471,10,19.8571428571429,20,29.8571428571429,0,0
118,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,0.0769610411361284,0.0774700035199546,10,19.8571428571429,30,45,0,0
119,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,-0.198450938723838,0.181259929406075,20,29.8571428571429,1.42857142857143,9.85714285714286,0,0
120,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,-0.0725706928348354,0.0900054527098833,20,29.8571428571429,10,19.8571428571429,0,0
121,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,-0.0304592074847086,0.0916176113351851,20,29.8571428571429,30,45,0,0
122,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,0.322083499169113,0.116363927189875,30,100,1.42857142857143,9.85714285714286,0,0
123,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,0.104360015324243,0.0753735236974071,30,100,10,19.8571428571429,0,0
124,102,drugs_alcohol,500,cvd_afib,525620,9023,0,continuous,gday,0.2390169004705,0.11576114422933,30,100,20,29.8571428571429,0,0
125,102,drugs_alcohol,500,cvd_afib,525616,9023,0,continuous,gday,-0.0512932943875506,0.0240588468038881,0,1.42857142857143,1.42857142857143,10,1,0
126,102,drugs_alcohol,500,cvd_afib,525616,9023,0,continuous,gday,0.00995033085316809,0.0252782914908753,0,1.42857142857143,11.4285714285714,20,1,0
127,102,drugs_alcohol,500,cvd_afib,525616,9023,0,continuous,gday,0.0861776962410524,0.0281130459524526,0,1.42857142857143,21.4285714285714,40,1,0
128,102,drugs_alcohol,500,cvd_afib,525616,9023,0,continuous,gday,0.231111720963387,0.0302847721529036,0,1.42857142857143,40,60,1,0
129,102,drugs_alcohol,500,cvd_afib,525575,9023,0,continuous,gday,0.0953101798043249,0.0254157757522554,0,0,280,420,0,0
130,102,drugs_alcohol,500,cvd_afib,525575,9023,0,continuous,gday,0,0.611439439372061,0,0,280,420,0,0
131,102,drugs_alcohol,500,cvd_afib,525545,9023,0,continuous,gday,0.0769610411361284,0.0542808072139447,0,0.128571428571429,1.28571428571429,4.05714285714286,0,0
132,102,drugs_alcohol,500,cvd_afib,525545,9023,0,continuous,gday,0.104360015324243,0.0553860669101068,0,0.128571428571429,4.05714285714286,6.9,0,0
133,102,drugs_alcohol,500,cvd_afib,525545,9023,0,continuous,gday,0.19062035960865,0.0526765096228999,0,0.128571428571429,6.9,10.35,0,0
134,102,drugs_alcohol,500,cvd_afib,525545,9023,0,continuous,gday,-0.0408219945202552,0.0664620110678138,0,0.128571428571429,1.28571428571429,4.05714285714286,0,0
135,102,drugs_alcohol,500,cvd_afib,525545,9023,0,continuous,gday,-0.162518929497775,0.07424866248225,0,0.128571428571429,4.05714285714286,6.9,0,0
136,102,drugs_alcohol,500,cvd_afib,525545,9023,0,continuous,gday,-0.0943106794712413,0.0749977657257769,0,0.128571428571429,6.9,10.35,0,0
137,102,drugs_alcohol,500,cvd_afib,525571,9023,0,continuous,gday,0.173953307123438,0.125326792778832,0,2,2,12,0,0
138,102,drugs_alcohol,500,cvd_afib,525571,9023,0,continuous,gday,0.0198026272961797,0.120685024434475,0,2,2,12,0,0
139,102,drugs_alcohol,500,cvd_afib,525571,9023,0,continuous,gday,0.22314355131421,0.153616174069954,0,2,2,2,0,0
140,102,drugs_alcohol,500,cvd_afib,525571,9023,0,continuous,gday,0.165514438477573,0.176823260346925,0,2,2,2,0,0
141,102,drugs_alcohol,500,cvd_afib,525571,9023,0,continuous,gday,0.425267735404344,0.135492573960902,0,2,4,6,0,0
142,102,drugs_alcohol,500,cvd_afib,525571,9023,0,continuous,gday,0.173953307123438,0.188973272844184,0,2,4,6,0,0
143,102,drugs_alcohol,500,cvd_afib,525624,9023,0,continuous,gday,0.27763173659828,0.0806217597466597,0,0,4,6,0,1
144,102,drugs_alcohol,500,cvd_afib,525624,9023,0,continuous,gday,0.19062035960865,0.181285800512108,0,0,4,6,0,1
145,102,drugs_alcohol,500,cvd_afib,525626,9023,0,continuous,gday,-0.0725706928348354,0.075739471315486,0,0,0.2,14.4,1,0
146,102,drugs_alcohol,500,cvd_afib,525976,9023,0,continuous,gday,-0.0618754037180875,0.0189050949371739,0,4.2,5.6,5.6,0,0
