seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age
329,102,drugs_alcohol,976,diabetes_typ2,529560,9023,0,continuous,gday,0.60431596685333,0.124539240639233,0,0,20.1428571428571,40,0,0
330,102,drugs_alcohol,976,diabetes_typ2,529564,9023,0,continuous,gday,-0.27443684570176,0.212476817075282,1.71428571428571,24,24,36,0,0
331,102,drugs_alcohol,976,diabetes_typ2,529564,9023,0,continuous,gday,-0.527632742082372,0.228319727915018,1.71428571428571,24,37.7142857142857,56.5714285714286,0,0
332,102,drugs_alcohol,976,diabetes_typ2,505541,9023,0,continuous,gday,0.0392207131532813,0.0634938896470981,0,0,0,25,0,0
333,102,drugs_alcohol,976,diabetes_typ2,505541,9023,0,continuous,gday,0.198850858745165,0.0914882164347105,0,0,26,60,0,0
334,102,drugs_alcohol,976,diabetes_typ2,505541,9023,0,continuous,gday,0.27763173659828,0.0955850636330129,0,0,61,91.5,0,0
335,102,drugs_alcohol,976,diabetes_typ2,499783,9023,0,continuous,gday,0.0198026272961797,0.0942686476740054,0,0,1,4.9,0,0
336,102,drugs_alcohol,976,diabetes_typ2,499783,9023,0,continuous,gday,-0.527632742082372,0.167545800099253,0,0,5,14.9,0,0
337,102,drugs_alcohol,976,diabetes_typ2,499783,9023,0,continuous,gday,-0.287682072451781,0.294050895392445,0,0,15,22.5,0,0
338,102,drugs_alcohol,976,diabetes_typ2,529569,9023,0,continuous,gday,-0.116533816255952,0.17274154061569,21,150,1,20,0,0
339,102,drugs_alcohol,976,diabetes_typ2,529571,9023,0,continuous,gday,-0.174353387144778,0.245257950804751,0,0.4,0.4,2.8,0,1
340,102,drugs_alcohol,976,diabetes_typ2,529571,9023,0,continuous,gday,-0.82098055206983,0.303927046458948,0,0.4,3.2,4.8,0,1
341,102,drugs_alcohol,976,diabetes_typ2,529576,9023,0,continuous,gday,-0.342490308946776,0.146174201203541,0,0,0.142857142857143,19.8571428571429,0,0
342,102,drugs_alcohol,976,diabetes_typ2,529576,9023,0,continuous,gday,0.431782416425538,0.194423482665025,0,0,20,30,0,0
343,102,drugs_alcohol,976,diabetes_typ2,529577,9023,0,continuous,gday,-0.49429632181478,0.176823260346925,0,0,1,22.9,0,0
344,102,drugs_alcohol,976,diabetes_typ2,529577,9023,0,continuous,gday,-0.22314355131421,0.125406699448496,0,0,23,45.9,0,0
345,102,drugs_alcohol,976,diabetes_typ2,529577,9023,0,continuous,gday,-0.0304592074847086,0.182389343865966,0,0,46,69,0,0
346,102,drugs_alcohol,976,diabetes_typ2,529579,9023,0,continuous,gday,-0.385662480811985,0.126432705383281,0,0,0,12,0,0
347,102,drugs_alcohol,976,diabetes_typ2,529579,9023,0,continuous,gday,-0.462035459596559,0.20821614115234,0,0,12,12,0,0
348,102,drugs_alcohol,976,diabetes_typ2,529579,9023,0,continuous,gday,-0.510825623765991,0.290071063646915,0,0,24,24,0,0
349,102,drugs_alcohol,976,diabetes_typ2,529579,9023,0,continuous,gday,-0.755022584278033,0.582240404509318,0,0,2,3,0,0
350,102,drugs_alcohol,976,diabetes_typ2,529583,9023,0,continuous,gday,-0.127833371509885,0.286971835965684,0,0,5.71428571428571,19.8571428571429,0,1
351,102,drugs_alcohol,976,diabetes_typ2,529583,9023,0,continuous,gday,0.631271776841858,0.241901296575794,0,0,20,39.8571428571429,0,1
352,102,drugs_alcohol,976,diabetes_typ2,529583,9023,0,continuous,gday,1.51292701205326,0.241384396521791,0,0,40,60,0,1
