seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age
131,102,drugs_alcohol,411,neo_esophageal,309832,9023,0,continuous,gday,1.43983512804792,0.157601465132183,10,20,50,70,0,0
132,102,drugs_alcohol,411,neo_esophageal,309843,9023,0,continuous,gday,0.693147180559945,0.295268568543633,0,1,1,10,0,0
133,102,drugs_alcohol,411,neo_esophageal,309837,9023,0,continuous,gday,0.13531729694763,0.120675022368482,0,0,0,0,0,1
134,102,drugs_alcohol,411,neo_esophageal,309837,9023,0,continuous,gday,0.462223441926773,0.145605030709914,0,0,0,0,0,1
135,102,drugs_alcohol,411,neo_esophageal,309843,9023,0,continuous,gday,1.33500106673234,0.743562043627634,0,1,38,57,0,0
136,102,drugs_alcohol,411,neo_esophageal,309835,9023,0,continuous,gday,0.587786664902119,0.34646007248806,0,0,10,22,0,0
137,102,drugs_alcohol,411,neo_esophageal,309841,9023,0,continuous,gday,0.182321556793955,0.20686995311641,0,0,0.142857142857143,35.5714285714286,0,0
138,102,drugs_alcohol,411,neo_esophageal,298509,9023,0,continuous,gday,1.1314021114911,0.10681386093321,0,0,25,49,0,0
139,102,drugs_alcohol,411,neo_esophageal,309840,9023,0,continuous,gday,1.56861591791385,0.438720910613002,0,14,30,70,0,0
140,102,drugs_alcohol,411,neo_esophageal,309840,9023,0,continuous,gday,2.4423470353692,0.349209851634699,0,14,72,168,0,0
141,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,0.425267735404344,0.405341681348408,0,13,13,39,0,0
142,102,drugs_alcohol,411,neo_esophageal,309849,9023,0,continuous,gday,1.6094379124341,1.00158358173982,0,0,182,273,0,1
143,102,drugs_alcohol,411,neo_esophageal,309840,9023,0,continuous,gday,2.06686275947298,0.334262360750502,0,14,30,70,0,0
144,102,drugs_alcohol,411,neo_esophageal,298508,9023,0,continuous,gday,0.148420005118273,0.0873179098180185,0,0,0.112714285714286,56.2444285714286,0,0
145,102,drugs_alcohol,411,neo_esophageal,309829,9023,0,continuous,gday,0.756121979721334,0.313489153955615,0,0,1,60,0,0
146,102,drugs_alcohol,411,neo_esophageal,298509,9023,0,continuous,gday,0.993251773010283,0.130312659123977,0,0,25,49,1,0
147,102,drugs_alcohol,411,neo_esophageal,309835,9023,0,continuous,gday,-0.22314355131421,0.35364652069385,0,0,2,8,0,0
148,102,drugs_alcohol,411,neo_esophageal,309849,9023,0,continuous,gday,0.488580014818671,0.896616997298514,0,0,14,28,0,1
149,102,drugs_alcohol,411,neo_esophageal,309835,9023,0,continuous,gday,-0.510825623765991,0.20686995311641,0,0,10,22,0,0
150,102,drugs_alcohol,411,neo_esophageal,298509,9023,0,continuous,gday,0.641853886172395,0.0925779320636144,0,0,1,24,1,0
