seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_smoking
162,102,drugs_alcohol,429,neo_breast,309779,9023,0,continuous,gday,0.3293037471426,0.0951687969524248,0,0,22.752,34.128,0,1,1
163,102,drugs_alcohol,429,neo_breast,309813,9023,0,continuous,gday,0.343589704390077,0.231469923757616,0,0,40,60,0,0,1
164,102,drugs_alcohol,429,neo_breast,309778,9023,0,continuous,gday,0.262364264467491,0.233747635682182,0,0,15,22.5,0,0,1
165,102,drugs_alcohol,429,neo_breast,309793,9023,0,continuous,gday,0.0953101798043249,0.377960342072504,0,0,0.11,5.31,0,0,1
166,102,drugs_alcohol,429,neo_breast,296215,9023,0,continuous,gday,0.0157749191153622,0.137107310673098,0,0,1,5,0,1,1
167,102,drugs_alcohol,429,neo_breast,309800,9023,0,continuous,gday,0.336472236621213,0.0888537485378102,0,0,20,30,0,0,0
168,102,drugs_alcohol,429,neo_breast,309784,9023,0,continuous,gday,0.548121408509688,0.358057616895396,0,0,30,45,0,0,0
169,102,drugs_alcohol,429,neo_breast,296209,9023,0,continuous,gday,0.0953101798043249,0.0465106012229476,0,0,1,14,0,0,0
170,102,drugs_alcohol,429,neo_breast,309816,9023,0,continuous,gday,0.300104592450338,0.0995755679877205,0,0,5,9.9,0,0,1
171,102,drugs_alcohol,429,neo_breast,309816,9023,0,continuous,gday,0.215111379616945,0.07815668506733,0,0,1,4.9,0,0,1
172,102,drugs_alcohol,429,neo_breast,296190,9023,0,continuous,gday,-0.0512932943875506,0.125440166426676,0,0,1,3.4,1,0,0
173,102,drugs_alcohol,429,neo_breast,309796,9023,0,continuous,gday,-0.127833371509885,0.265393719526565,0,0,1.42857142857143,4.28571428571429,0,0,0
174,102,drugs_alcohol,429,neo_breast,296204,9023,0,continuous,gday,0.56531380905006,0.212667976350481,0,0,21.4285714285714,32.1428571428571,0,0,0
175,102,drugs_alcohol,429,neo_breast,309788,9023,0,continuous,gday,0.405465108108164,0.164955909419656,0,0,2.41,7.6,0,0,1
176,102,drugs_alcohol,429,neo_breast,309788,9023,0,continuous,gday,0.182321556793955,0.146776567577439,0,0,1,2.4,0,0,1
177,102,drugs_alcohol,429,neo_breast,309768,9023,0,continuous,gday,0.457424847038875,0.606337210102178,0,0,4,14,0,1,1
178,102,drugs_alcohol,429,neo_breast,309789,9023,0,continuous,gday,0.22314355131421,0.150858287308674,0,0,5,14.9,0,0,1
179,102,drugs_alcohol,429,neo_breast,310083,9023,0,continuous,gday,-0.22314355131421,0.232745268809762,0,0,1,2.51,0,0,0
180,102,drugs_alcohol,429,neo_breast,309811,9023,0,continuous,gday,0.182321556793955,0.220662611603726,0,0,5,10,0,0,1
181,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,-0.0100503358535015,0.14763694627097,0,0,4.88571428571429,9.77142857142857,0,0,1
182,102,drugs_alcohol,429,neo_breast,296209,9023,0,continuous,gday,0.182321556793955,0.061520932861451,0,0,14,28,0,0,0
183,102,drugs_alcohol,429,neo_breast,309791,9023,0,continuous,gday,-0.22314355131421,0.483959179817827,0,0,12.8571428571429,19.2857142857143,0,0,0
184,102,drugs_alcohol,429,neo_breast,296194,9023,0,continuous,gday,0.246860077931526,0.0693708457866433,0,0,20,29.9,0,0,0
185,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,-0.356674943938732,0.392970673711007,0,0,13,27,0,0,0
186,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,0.2390169004705,0.248982134330555,0,0,13.2571428571429,19.8857142857143,0,0,1
187,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,-0.356674943938732,0.682180777914931,0,0,13,27,0,0,0
188,102,drugs_alcohol,429,neo_breast,309751,9023,0,continuous,gday,0.924258901523332,0.325808000680252,0,0,30,45,0,0,1
189,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,0.254642218373581,0.267643880932176,0,0,5.7,8.55,0,0,1
190,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,-0.174353387144778,0.189688274027254,0,0,11.6,11.6,0,0,1
191,102,drugs_alcohol,429,neo_breast,309751,9023,0,continuous,gday,0.22314355131421,0.204156076023284,0,0,1,15,0,0,1
192,102,drugs_alcohol,429,neo_breast,296197,9023,0,continuous,gday,-0.579818495252942,0.109041840517076,0,0,1,5,0,0,1
193,102,drugs_alcohol,429,neo_breast,309810,9023,0,continuous,gday,0.419696690354889,0.284827235235924,0,0,1.42857142857143,2.14285714285714,0,0,1
194,102,drugs_alcohol,429,neo_breast,309811,9023,0,continuous,gday,0.182321556793955,0.146776567577439,0,0,5,10,0,0,1
195,102,drugs_alcohol,429,neo_breast,309802,9023,0,continuous,gday,0.641853886172395,0.186450895036427,0,1.35,4.5,13.5,0,0,1
196,102,drugs_alcohol,429,neo_breast,309777,9023,0,continuous,gday,0.316633894401549,0.228293465479732,0,0,8,12,0,1,1
197,102,drugs_alcohol,429,neo_breast,309777,9023,0,continuous,gday,0.367139993786496,0.195449565840391,0,0,2,6,0,1,1
198,102,drugs_alcohol,429,neo_breast,296200,9023,0,continuous,gday,0.262364264467491,0.314322367676692,0,0,10,19.99,0,0,1
199,102,drugs_alcohol,429,neo_breast,309757,9023,0,continuous,gday,0.307484699747961,0.0842453282833105,0,1.5,29.9,37.1,0,0,0
200,102,drugs_alcohol,429,neo_breast,309757,9023,0,continuous,gday,0.0295588022415444,0.0912849640609464,0,1.5,23.6,29.9,0,0,0
201,102,drugs_alcohol,429,neo_breast,309757,9023,0,continuous,gday,0.0676586484738149,0.0547896177662483,0,1.5,10,19,0,0,0
202,102,drugs_alcohol,429,neo_breast,309798,9023,0,continuous,gday,-0.22314355131421,0.176823260346925,0,0.204285714285714,5.71428571428571,8.57142857142857,0,0,0
203,102,drugs_alcohol,429,neo_breast,296206,9023,0,continuous,gday,0.10517049760554,0.10356622600329,0,0,6,10,0,1,1
204,102,drugs_alcohol,429,neo_breast,296209,9023,0,continuous,gday,0.336472236621213,0.111050528382103,0,0,42,63,0,0,0
205,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,0,0.250211544135645,0,0,1,2,0,0,0
206,102,drugs_alcohol,429,neo_breast,309770,9023,0,continuous,gday,0.254642218373581,0.127748797936859,0,0,1,5,0,0,0
207,102,drugs_alcohol,429,neo_breast,309761,9023,0,continuous,gday,0,0.250211544135645,0,0,26,39,0,0,0
208,102,drugs_alcohol,429,neo_breast,309796,9023,0,continuous,gday,-0.0943106794712413,0.260625318247954,0,0,5.71428571428571,10,0,0,0
209,102,drugs_alcohol,429,neo_breast,309761,9023,0,continuous,gday,-0.105360515657826,0.157918165409751,0,0,1.85714285714286,12.9857142857143,0,0,0
210,102,drugs_alcohol,429,neo_breast,296203,9023,0,continuous,gday,0.124780716897306,0.0652115279736422,0,0,2,14,0,0,1
211,102,drugs_alcohol,429,neo_breast,298275,9023,0,continuous,gday,0.405465108108164,0.11722763504552,0,0,24,36,1,0,0
212,102,drugs_alcohol,429,neo_breast,309773,9023,0,continuous,gday,0.182321556793955,0.16224203232653,0,0,1.5,4.9,0,0,1
213,102,drugs_alcohol,429,neo_breast,296193,9023,0,continuous,gday,0.0861776962410524,0.242595992311746,0,0,16,24,1,0,0
214,102,drugs_alcohol,429,neo_breast,296215,9023,0,continuous,gday,0.163733191982602,0.15176328053621,0,0,6,13,0,1,1
215,102,drugs_alcohol,429,neo_breast,296206,9023,0,continuous,gday,-0.259288997950563,0.0934344570977732,0,0,2,4,0,1,1
216,102,drugs_alcohol,429,neo_breast,309775,9023,0,continuous,gday,0.405465108108164,0.310304929674616,0,0,20,40,0,0,0
217,102,drugs_alcohol,429,neo_breast,309775,9023,0,continuous,gday,0.262364264467491,0.220662611603726,0,0,1,10,0,0,0
218,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,0.0953101798043249,0.62671830939319,0,0,3,12,0,0,0
219,102,drugs_alcohol,429,neo_breast,296199,9023,0,continuous,gday,0.143580728477524,0.328275999481036,0,0,30,45,0,0,1
220,102,drugs_alcohol,429,neo_breast,309802,9023,0,continuous,gday,0.832909122935104,0.240934083887972,0,1.35,15,25.5,0,0,1
221,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,0.0953101798043249,0.254726742375288,0,0,28,42,0,0,0
222,102,drugs_alcohol,429,neo_breast,296194,9023,0,continuous,gday,0.405465108108164,0.0561617378739397,0,0,30,45,0,0,0
223,102,drugs_alcohol,429,neo_breast,296211,9023,0,continuous,gday,0.104360015324243,0.0707447156674067,0,0,10,19.8571428571429,0,0,1
224,102,drugs_alcohol,429,neo_breast,296215,9023,0,continuous,gday,0.142887487548548,0.213570456925771,0,0,14,21,0,1,1
225,102,drugs_alcohol,429,neo_breast,296141,9023,0,continuous,gday,0.482426149244293,0.299365713479905,0,0,0.789,41.817,0,0,1
226,102,drugs_alcohol,429,neo_breast,296211,9023,0,continuous,gday,-0.0618754037180875,0.0514641945538409,0,0,1,1.28571428571429,0,0,1
227,102,drugs_alcohol,429,neo_breast,309768,9023,0,continuous,gday,0.343589704390077,0.32734274622349,0,0,4,14,0,1,1
228,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,0,0.194423482665025,0,0,3,12,0,0,0
229,102,drugs_alcohol,429,neo_breast,296214,9023,0,continuous,gday,0.246860077931526,0.197918085817617,0,1.54285714285714,13.7142857142857,24,0,0,0
230,102,drugs_alcohol,429,neo_breast,296214,9023,0,continuous,gday,0.431782416425538,0.355297672353446,0,1.54285714285714,37.7142857142857,56.5714285714286,0,0,0
231,102,drugs_alcohol,429,neo_breast,296212,9023,0,continuous,gday,0.048790164169432,0.188770020470419,0,0,6,12,0,0,0
232,102,drugs_alcohol,429,neo_breast,309775,9023,0,continuous,gday,0.587786664902119,0.247296060507169,0,0,10,20,0,0,0
233,102,drugs_alcohol,429,neo_breast,296211,9023,0,continuous,gday,0.215111379616945,0.0941880912540366,0,0,20,30,0,0,1
234,102,drugs_alcohol,429,neo_breast,309802,9023,0,continuous,gday,1.25276296849537,0.284474895566153,0,1.35,27,40.5,0,0,1
235,102,drugs_alcohol,429,neo_breast,309761,9023,0,continuous,gday,0.336472236621213,0.216147413364083,0,0,13,25.9857142857143,0,0,0
236,102,drugs_alcohol,429,neo_breast,309786,9023,0,continuous,gday,-0.415515443961666,0.193287168800387,0,0,15,22.5,0,0,0
237,102,drugs_alcohol,429,neo_breast,296206,9023,0,continuous,gday,0.290129076094833,0.103388224603375,0,0,10,15,0,1,1
238,102,drugs_alcohol,429,neo_breast,309784,9023,0,continuous,gday,0.104360015324243,0.168724102613614,0,0,1,4,0,0,0
239,102,drugs_alcohol,429,neo_breast,309778,9023,0,continuous,gday,-0.916290731874155,0.176823260346925,0,0,1,15,0,0,1
240,102,drugs_alcohol,429,neo_breast,296212,9023,0,continuous,gday,0.0582689081239758,0.146377658910046,0,0,1,6,0,0,0
241,102,drugs_alcohol,429,neo_breast,309753,9023,0,continuous,gday,0.482426149244293,0.225775048053584,1.71428571428571,5.14285714285714,48,72,0,0,1
242,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,0.182321556793955,0.28025823690513,0,0,3,12,0,0,0
243,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,0.182321556793955,1.15900377098725,0,0,28,42,0,0,0
244,102,drugs_alcohol,429,neo_breast,309773,9023,0,continuous,gday,0.587786664902119,0.225099280662876,0,0,30,45,0,0,1
245,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,0.182321556793955,0.56051647381026,0,0,1,2,0,0,0
246,102,drugs_alcohol,429,neo_breast,309753,9023,0,continuous,gday,0.832909122935104,0.197995943910947,1.71428571428571,5.14285714285714,37.7142857142857,46.2857142857143,0,0,1
247,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,0.0953101798043249,0.176823260346925,0,0,1,2,0,0,0
248,102,drugs_alcohol,429,neo_breast,541741,9023,0,continuous,gday,-0.3147107448397,0.206290833592293,0,12,12,18,0,0,1
249,102,drugs_alcohol,429,neo_breast,541751,9023,0,continuous,gday,0.431782416425538,0.423198611277329,0,12,12,18,0,1,1
250,102,drugs_alcohol,429,neo_breast,541755,9023,0,continuous,gday,-0.0408219945202552,0.161812928708421,0,5,5,15,0,0,0
251,102,drugs_alcohol,429,neo_breast,541755,9023,0,continuous,gday,0.657520002916794,0.272619880625773,0,5,15,22.5,0,0,0
252,102,drugs_alcohol,429,neo_breast,541759,9023,0,continuous,gday,-0.941608539858445,0.584497589513041,0,0,0,20,0,0,0
253,102,drugs_alcohol,429,neo_breast,541759,9023,0,continuous,gday,-0.972861083362549,0.203047286000294,0,0,20,30,0,0,0
254,102,drugs_alcohol,429,neo_breast,541763,9023,0,continuous,gday,-0.0512932943875506,0.0593424222624371,0,0,5,10,0,0,0
255,102,drugs_alcohol,429,neo_breast,541763,9023,0,continuous,gday,0.262364264467491,0.103434976558205,0,0,25,40,0,0,0
