seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_smoking
26,102,drugs_alcohol,429,neo_breast,309804,9023,0,continuous,gday,-0.693147180559945,0.859004038261856,0,0,5,14,0,0,0
27,102,drugs_alcohol,429,neo_breast,296199,9023,0,continuous,gday,-0.0692429027421607,0.318230688251963,0,0,3,15,0,0,1
28,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,-0.356674943938732,0.44250026923166,0,0,28,42,0,0,0
29,102,drugs_alcohol,429,neo_breast,309773,9023,0,continuous,gday,0.182321556793955,0.192288725096015,0,0,15,29.9,0,0,1
30,102,drugs_alcohol,429,neo_breast,309798,9023,0,continuous,gday,0,0.194423482665025,0,0.333,20,30,0,0,0
31,102,drugs_alcohol,429,neo_breast,296200,9023,0,continuous,gday,0.405465108108164,0.310304929674616,0,0,5,9.99,0,0,1
32,102,drugs_alcohol,429,neo_breast,309806,9023,0,continuous,gday,0.0953101798043249,0.400157121916797,0,0,1,1.2,0,0,0
33,102,drugs_alcohol,429,neo_breast,309810,9023,0,continuous,gday,0.0411419433311752,0.154255804284329,0,0,1,1.28571428571429,0,0,1
34,102,drugs_alcohol,429,neo_breast,309757,9023,0,continuous,gday,-0.0202027073175195,0.05171212053495,0,1.5,1.5,4.7,0,0,0
35,102,drugs_alcohol,429,neo_breast,296197,9023,0,continuous,gday,-0.150822889734584,0.237499203893839,0,0,20,30,0,0,1
36,102,drugs_alcohol,429,neo_breast,309800,9023,0,continuous,gday,0.78845736036427,0.1180162045786,0,0,31,46.5,0,0,0
37,102,drugs_alcohol,429,neo_breast,309813,9023,0,continuous,gday,0.113328685307003,0.0969529062711215,0,0,1,19,0,0,1
38,102,drugs_alcohol,429,neo_breast,296141,9023,0,continuous,gday,1.23547147138531,1.0147679669428,0,0,63.909,95.8635,0,0,1
39,102,drugs_alcohol,429,neo_breast,309776,9023,0,continuous,gday,-0.356674943938732,0.300677294985114,0,0,1,5,0,0,1
40,102,drugs_alcohol,429,neo_breast,309815,9023,0,continuous,gday,0.0769610411361284,0.0727089171000758,0,0,1,3.3,0,0,1
41,102,drugs_alcohol,429,neo_breast,309777,9023,0,continuous,gday,0.454445730329786,0.223557559197884,0,0,14,21,0,1,1
42,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,-0.0618754037180875,0.0913112158789079,0,0,1.65714285714286,3.31428571428571,0,0,1
43,102,drugs_alcohol,429,neo_breast,309768,9023,0,continuous,gday,0.53062825106217,0.416621030370259,0,0,14,21,0,1,1
44,102,drugs_alcohol,429,neo_breast,309806,9023,0,continuous,gday,-0.22314355131421,0.176823260346925,0,0,1.3,4.9,0,0,0
45,102,drugs_alcohol,429,neo_breast,309773,9023,0,continuous,gday,0.262364264467491,0.19061591883424,0,0,1,1.4,0,0,1
46,102,drugs_alcohol,429,neo_breast,298275,9023,0,continuous,gday,0.0953101798043249,0.0938073418687034,0,0,1,10.8,1,0,0
47,102,drugs_alcohol,429,neo_breast,309798,9023,0,continuous,gday,-0.510825623765991,0.176823260346925,0,0.333333333333333,0.333333333333333,1,0,0,0
48,102,drugs_alcohol,429,neo_breast,309804,9023,0,continuous,gday,0.832909122935104,1.05960743351493,0,0,30,45,0,0,0
49,102,drugs_alcohol,429,neo_breast,309804,9023,0,continuous,gday,-0.105360515657826,0.794264109492442,0,0,30,45,0,0,0
50,102,drugs_alcohol,429,neo_breast,309804,9023,0,continuous,gday,-0.22314355131421,0.992811300538425,0,0,15,29,0,0,0
51,102,drugs_alcohol,429,neo_breast,309795,9023,0,continuous,gday,0.0769610411361284,0.266613164213552,0,0,1,11.5,0,0,0
52,102,drugs_alcohol,429,neo_breast,309815,9023,0,continuous,gday,0.357674444271816,0.10635046018668,0,0,10,15,0,0,1
53,102,drugs_alcohol,429,neo_breast,309784,9023,0,continuous,gday,0.182321556793955,0.260625318247954,0,0,15,29,0,0,0
54,102,drugs_alcohol,429,neo_breast,296202,9023,0,continuous,gday,0.048790164169432,0.104433420262577,0,0,1,1.8,0,0,0
55,102,drugs_alcohol,429,neo_breast,309816,9023,0,continuous,gday,0.524728528934982,0.124447986107472,0,0,10,15,0,0,1
56,102,drugs_alcohol,429,neo_breast,309773,9023,0,continuous,gday,0.0953101798043249,0.130312659123977,0,0,5,14.9,0,0,1
57,102,drugs_alcohol,429,neo_breast,309786,9023,0,continuous,gday,0.139761942375159,0.146961894168094,0,0,1,4.9,0,0,0
58,102,drugs_alcohol,429,neo_breast,309811,9023,0,continuous,gday,0.262364264467491,0.16224203232653,0,0,1,5,0,0,1
59,102,drugs_alcohol,429,neo_breast,309817,9023,0,continuous,gday,0.182321556793955,0.0858347542401053,0,0,14,28,0,0,1
60,102,drugs_alcohol,429,neo_breast,309803,9023,0,continuous,gday,-0.105360515657826,0.28025823690513,0,0,1,10,0,0,1
61,102,drugs_alcohol,429,neo_breast,310083,9023,0,continuous,gday,0.451075619360217,0.237329869642141,0,0,9.3,13.95,0,0,0
62,102,drugs_alcohol,429,neo_breast,310083,9023,0,continuous,gday,0.148420005118273,0.237218465288248,0,0,2.51,9.3,0,0,0
63,102,drugs_alcohol,429,neo_breast,309810,9023,0,continuous,gday,-0.590229646553259,0.334134080277992,0,0,1.42857142857143,2.14285714285714,0,0,1
64,102,drugs_alcohol,429,neo_breast,309770,9023,0,continuous,gday,0.378436435720245,0.131214080700842,0,0,5,7.5,0,0,0
65,102,drugs_alcohol,429,neo_breast,309789,9023,0,continuous,gday,0.182321556793955,0.1319531923715,0,0,1.5,4.9,0,0,1
66,102,drugs_alcohol,429,neo_breast,309789,9023,0,continuous,gday,0.165514438477573,0.15996353794157,0,0,1,1.4,0,0,1
67,102,drugs_alcohol,429,neo_breast,309810,9023,0,continuous,gday,-0.277335780397637,0.486862543069515,0,0,1.42857142857143,2.14285714285714,0,0,1
68,102,drugs_alcohol,429,neo_breast,309810,9023,0,continuous,gday,0.288331861293278,0.132963747763521,0,0,1,11.2857142857143,0,0,1
69,102,drugs_alcohol,429,neo_breast,309817,9023,0,continuous,gday,0.182321556793955,0.103434976558205,0,0,28,42,0,0,1
70,102,drugs_alcohol,429,neo_breast,296194,9023,0,continuous,gday,0.139761942375159,0.0440925542957681,0,0,5,9.9,0,0,0
71,102,drugs_alcohol,429,neo_breast,309791,9023,0,continuous,gday,-0.356674943938732,0.427034804482569,0,0,1.42857142857143,4.28571428571429,0,0,0
72,102,drugs_alcohol,429,neo_breast,309811,9023,0,continuous,gday,0.470003629245736,0.28025823690513,0,0,10,15,0,0,1
73,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,0.262364264467491,0.204579091941006,0,0,13.0285714285714,19.5428571428571,0,0,1
74,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,-0.116533816255952,0.195573888406345,0,0,6.3,9.45,0,0,1
75,102,drugs_alcohol,429,neo_breast,309776,9023,0,continuous,gday,-0.510825623765991,0.35364652069385,0,0,10,15,0,0,1
76,102,drugs_alcohol,429,neo_breast,309811,9023,0,continuous,gday,0.405465108108164,0.212476817075282,0,0,10,15,0,0,1
77,102,drugs_alcohol,429,neo_breast,309776,9023,0,continuous,gday,-0.105360515657826,0.410570896029107,0,0,5.1,10,0,0,1
78,102,drugs_alcohol,429,neo_breast,309811,9023,0,continuous,gday,0.0953101798043249,0.240934083887972,0,0,5,10,0,0,1
79,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,0.173953307123438,0.175300258564653,0,0,2.7,5.4,0,0,1
80,102,drugs_alcohol,429,neo_breast,309753,9023,0,continuous,gday,0.2390169004705,0.164029948182264,1.71428571428571,5.14285714285714,0,0,0,0,1
81,102,drugs_alcohol,429,neo_breast,309803,9023,0,continuous,gday,0.470003629245736,0.298487564451596,0,0,40,60,0,0,1
82,102,drugs_alcohol,429,neo_breast,309803,9023,0,continuous,gday,0.182321556793955,0.35364652069385,0,0,30,40,0,0,1
83,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,-0.0408219945202552,0.0894089218599008,0,0,0.9,1.8,0,0,1
84,102,drugs_alcohol,429,neo_breast,309803,9023,0,continuous,gday,0,0.210887391118487,0,0,20,30,0,0,1
85,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,0.0295588022415444,0.0912849640609464,0,0,0.814285714285714,1.62857142857143,0,0,1
86,102,drugs_alcohol,429,neo_breast,309811,9023,0,continuous,gday,0.0953101798043249,0.0938073418687034,0,0,1,5,0,0,1
87,102,drugs_alcohol,429,neo_breast,309793,9023,0,continuous,gday,0.182321556793955,0.35364652069385,0,0,13.11,24.34,0,0,1
88,102,drugs_alcohol,429,neo_breast,309793,9023,0,continuous,gday,0.405465108108164,0.319582389922288,0,0,5.32,13.1,0,0,1
89,102,drugs_alcohol,429,neo_breast,309813,9023,0,continuous,gday,-0.139262067333508,0.172675168287797,0,0,20,39,0,0,1
90,102,drugs_alcohol,429,neo_breast,296202,9023,0,continuous,gday,0.113328685307003,0.102498821229388,0,0,8,13.8,0,0,0
91,102,drugs_alcohol,429,neo_breast,296202,9023,0,continuous,gday,0.0953101798043249,0.0827142010677496,0,0,2,7.8,0,0,0
92,102,drugs_alcohol,429,neo_breast,309815,9023,0,continuous,gday,0.0953101798043249,0.0807442913499154,0,0,3.4,9.9,0,0,1
93,102,drugs_alcohol,429,neo_breast,296202,9023,0,continuous,gday,0.0198026272961797,0.0777491086252758,0,0,0.1,0.8,0,0,0
94,102,drugs_alcohol,429,neo_breast,296203,9023,0,continuous,gday,0.153235975898858,0.103399237970193,0,0,16,24,0,0,1
95,102,drugs_alcohol,429,neo_breast,296190,9023,0,continuous,gday,-0.0618754037180875,0.147912881442077,0,0,3.4,9.9,1,0,0
96,102,drugs_alcohol,429,neo_breast,309796,9023,0,continuous,gday,0.0953101798043249,0.244604680176773,0,0,0,1.42857142857143,0,0,0
97,102,drugs_alcohol,429,neo_breast,296204,9023,0,continuous,gday,0.0582689081239758,0.156404202266941,0,0,0.142857142857143,21.4285714285714,0,0,0
98,102,drugs_alcohol,429,neo_breast,296204,9023,0,continuous,gday,0.157003748809665,0.146050814482482,0,0,0.1,0.128571428571429,0,0,0
99,102,drugs_alcohol,429,neo_breast,309808,9023,0,continuous,gday,0.693147180559945,0.309444550981085,0,0,5,7.5,0,0,1
100,102,drugs_alcohol,429,neo_breast,298275,9023,0,continuous,gday,0,0.176823260346925,0,0,48,72,1,0,0
101,102,drugs_alcohol,429,neo_breast,309798,9023,0,continuous,gday,0,0.176823260346925,0,0.204285714285714,1.42857142857143,4.28571428571429,0,0,0
102,102,drugs_alcohol,429,neo_breast,296206,9023,0,continuous,gday,0.172692007818111,0.102462356954511,0,0,1,2,0,1,1
103,102,drugs_alcohol,429,neo_breast,296193,9023,0,continuous,gday,0.0198026272961797,0.221069148806603,0,0,8,14,1,0,0
104,102,drugs_alcohol,429,neo_breast,309800,9023,0,continuous,gday,0.262364264467491,0.0791211551795509,0,0,10,19,0,0,0
105,102,drugs_alcohol,429,neo_breast,309810,9023,0,continuous,gday,0.575657851767478,0.156115072187374,0,0,11.4285714285714,22.7142857142857,0,0,1
106,102,drugs_alcohol,429,neo_breast,296193,9023,0,continuous,gday,-0.287682072451781,0.13824393133572,0,0,1,6,1,0,0
107,102,drugs_alcohol,429,neo_breast,309810,9023,0,continuous,gday,-0.0793679353835727,0.261796400026809,0,0,1,1.28571428571429,0,0,1
108,102,drugs_alcohol,429,neo_breast,309791,9023,0,continuous,gday,0.262364264467491,0.324736141789002,0,0,5.71428571428571,11.4285714285714,0,0,0
109,102,drugs_alcohol,429,neo_breast,296194,9023,0,continuous,gday,0.139761942375159,0.0400108345645331,0,0,10,19.9,0,0,0
110,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,0.0953101798043249,0.265677008884735,0,0,13,27,0,0,0
111,102,drugs_alcohol,429,neo_breast,296197,9023,0,continuous,gday,0.845868267577609,0.313731169171497,0,0,30,45,0,0,1
112,102,drugs_alcohol,429,neo_breast,309751,9023,0,continuous,gday,0.182321556793955,0.245865578025296,0,0,15,30,0,0,1
113,102,drugs_alcohol,429,neo_breast,296197,9023,0,continuous,gday,-0.116533816255952,0.420827635946975,0,0,10,20,0,0,1
114,102,drugs_alcohol,429,neo_breast,296197,9023,0,continuous,gday,-0.544727175441672,0.26265801458703,0,0,5,10,0,0,1
115,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,0.00995033085316809,0.210649311735069,0,0,11.4,11.4,0,0,1
116,102,drugs_alcohol,429,neo_breast,309792,9023,0,continuous,gday,-0.0100503358535015,0.160359351893463,0,0,4.97142857142857,9.94285714285714,0,0,1
117,102,drugs_alcohol,429,neo_breast,309753,9023,0,continuous,gday,0.0953101798043249,0.162054388301286,1.71428571428571,5.14285714285714,13.7142857142857,24,0,0,1
118,102,drugs_alcohol,429,neo_breast,296199,9023,0,continuous,gday,0.379463305569164,0.337268240393998,0,0,15,30,0,0,1
