seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_age
55,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,0.470003629245736,0.199020040191218,0.122,10.98,12.2,35.38,0
56,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,1.16627093714192,0.35364652069385,0.122,10.98,36.6,59.78,0
57,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,2.03208784529637,0.514005872587313,0.122,10.98,61,91.5,0
58,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,0.378436435720245,0.103434976558205,0.122,10.98,12.2,35.38,0
59,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,0.647103242058538,0.186450895036427,0.122,10.98,36.6,59.78,0
60,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,1.03673688495002,0.222150091274846,0.122,10.98,61,91.5,0
61,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,0.300104592450338,0.605843304738181,0.122,10.98,12.2,35.38,0
62,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,1.78339121955754,0.843338571902508,0.122,10.98,36.6,59.78,0
63,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,2.97552956623647,1.22247721648937,0.122,10.98,61,91.5,0
64,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,0.482426149244293,0.361496433619042,0.122,10.98,12.2,35.38,0
65,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,1.20297230399235,0.45093416266556,0.122,10.98,36.6,59.78,0
66,102,drugs_alcohol,450,neo_otherpharynx,543699,9023,0,continuous,gday,1.95018670582257,0.507379472994644,0.122,10.98,61,91.5,0
67,102,drugs_alcohol,450,neo_otherpharynx,543726,9023,0,continuous,gday,0.0392207131532813,0.0271378580506561,0,0,1,10,1
