seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_otherdrug
179,102,drugs_alcohol,417,neo_liver,528690,9023,0,continuous,gday,0.942348266193445,0.37764752530637,1,20,20,30,0,0,1
180,102,drugs_alcohol,417,neo_liver,528735,9023,0,continuous,gday,0.0295588022415444,1.23620799455411,0,0,1.42857142857143,2.85714285714286,1,1,1
181,102,drugs_alcohol,417,neo_liver,528735,9023,0,continuous,gday,0.22314355131421,0.799444024329367,0,0,7.14285714285714,10.7142857142857,1,1,1
182,102,drugs_alcohol,417,neo_liver,528735,9023,0,continuous,gday,0.598836501088704,0.603288004165867,0,0,1.42857142857143,2.85714285714286,1,1,1
183,102,drugs_alcohol,417,neo_liver,528735,9023,0,continuous,gday,-0.0408219945202552,0.667559743069017,0,0,4.28571428571429,5.71428571428571,1,1,1
184,102,drugs_alcohol,417,neo_liver,528735,9023,0,continuous,gday,-0.579818495252942,0.436810024967808,0,0,7.14285714285714,10.7142857142857,1,1,1
185,102,drugs_alcohol,417,neo_liver,528735,9023,0,continuous,gday,0.854415328156068,1.12380385889592,0,0,7.14285714285714,10.7142857142857,1,1,1
186,102,drugs_alcohol,417,neo_liver,528766,9023,0,continuous,gday,0.512823626428664,0.176823260346925,10,60,70,105,0,0,1
187,102,drugs_alcohol,417,neo_liver,309634,9023,0,continuous,gday,0.920282753143692,0.248145929280384,0,0,10,20,0,0,1
188,102,drugs_alcohol,417,neo_liver,309634,9023,0,continuous,gday,0.920282753143692,0.306024361978821,0,0,30,40,0,0,1
189,102,drugs_alcohol,417,neo_liver,309634,9023,0,continuous,gday,0.900161349944271,0.383693213463335,0,0,30,40,0,0,1
190,102,drugs_alcohol,417,neo_liver,528658,9023,0,continuous,gday,0.536493370514568,0.113774257447379,1.4,14,0,0,0,0,1
191,102,drugs_alcohol,417,neo_liver,528658,9023,0,continuous,gday,-0.0304592074847086,0.158194399373739,1.4,14,14,42,0,0,1
192,102,drugs_alcohol,417,neo_liver,528658,9023,0,continuous,gday,0.65232518603969,0.154299636075068,1.4,14,56,84,0,0,1
193,102,drugs_alcohol,417,neo_liver,528662,9023,0,continuous,gday,-0.121264087493039,0.163913739325633,0,0,1,14,0,1,1
194,102,drugs_alcohol,417,neo_liver,528662,9023,0,continuous,gday,0.811996314398326,0.195036488770509,0,0,28,42,0,1,1
195,102,drugs_alcohol,417,neo_liver,364056,9023,0,continuous,gday,-0.261364764134408,0.0724346301890749,0,0,1,7,0,0,1
196,102,drugs_alcohol,417,neo_liver,364056,9023,0,continuous,gday,-0.562118918153541,0.129150461028094,0,0,7,14,0,0,1
197,102,drugs_alcohol,417,neo_liver,364056,9023,0,continuous,gday,-0.342490308946776,0.103434976558205,0,0,14,40.6,0,0,1
198,102,drugs_alcohol,417,neo_liver,364056,9023,0,continuous,gday,0.0392207131532813,0.138573222772712,0,0,42,68.6,0,0,1
199,102,drugs_alcohol,417,neo_liver,364056,9023,0,continuous,gday,0,0.200111887951365,0,0,70,96.6,0,0,1
200,102,drugs_alcohol,417,neo_liver,364056,9023,0,continuous,gday,0.625938430866495,0.143017460778013,0,0,98,147,0,0,1
