seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_otherdrug
120,102,drugs_alcohol,417,neo_liver,528666,9023,0,continuous,gday,0.378436435720245,0.0713716563634356,0,0,40,60,0,0,1
121,102,drugs_alcohol,417,neo_liver,528676,9023,0,continuous,gday,1.31103187661934,0.297721491681246,1,70,70,105,0,1,1
122,102,drugs_alcohol,417,neo_liver,528682,9023,0,continuous,gday,0.65232518603969,0.184326802491387,0,0,1,60,0,0,1
123,102,drugs_alcohol,417,neo_liver,528682,9023,0,continuous,gday,1.3609765531356,0.297233591695082,0,0,60,90,0,0,1
124,102,drugs_alcohol,417,neo_liver,528692,9023,0,continuous,gday,0.727548607277278,0.136690542339645,1.71428571428571,42.8571428571429,61.7142857142857,92.5714285714286,0,0,1
125,102,drugs_alcohol,417,neo_liver,528698,9023,0,continuous,gday,1.1368710007852,0.521907729746752,1.71428571428571,24,25.7142857142857,38.5714285714286,1,0,1
126,102,drugs_alcohol,417,neo_liver,528702,9023,0,continuous,gday,-0.116533816255952,0.0201880919792663,0,0,1,9.9,0,0,1
127,102,drugs_alcohol,417,neo_liver,528702,9023,0,continuous,gday,-0.0618754037180875,0.0243138213786543,0,0,10,19.9,0,0,1
128,102,drugs_alcohol,417,neo_liver,528702,9023,0,continuous,gday,0.131028262406404,0.028994724100133,0,0,20,29.9,0,0,1
129,102,drugs_alcohol,417,neo_liver,528702,9023,0,continuous,gday,0.0953101798043249,0.055373598274956,0,0,30,49.9,0,0,1
130,102,drugs_alcohol,417,neo_liver,528702,9023,0,continuous,gday,0.371563556432483,0.0333597528528558,0,0,50,75,0,0,1
131,102,drugs_alcohol,417,neo_liver,528706,9023,0,continuous,gday,0.940007258491471,0.412798875612973,1,59,60,90,0,0,1
132,102,drugs_alcohol,417,neo_liver,528708,9023,0,continuous,gday,0.657520002916794,0.297753457352714,1.42857142857143,1.42857142857143,1.42857142857143,5,0,0,0
133,102,drugs_alcohol,417,neo_liver,528708,9023,0,continuous,gday,0.0861776962410524,0.354824823208211,1.42857142857143,1.42857142857143,5.14285714285714,10,0,0,0
134,102,drugs_alcohol,417,neo_liver,528708,9023,0,continuous,gday,0.392042087776024,0.338076140442225,1.42857142857143,1.42857142857143,10.1428571428571,20,0,0,0
